week_start,total_orders,total_gmv,aov,cancellation_rate,avg_review_score,avg_delivery_days,on_time_delivery_rate
2017-05-22,784,133565.60999999978,170.36429846938748,0.015306122448979591,4.229328165374677,10.598155467720686,0.9670619235836627
2017-05-29,836,133509.95999999988,159.70090909090894,0.019138755980861243,4.145278450363196,11.7075,0.97
2017-06-05,847,126830.71,149.7410979929162,0.015348288075560802,4.121686746987952,12.082309582309582,0.9717444717444718
2017-06-12,753,119418.14999999973,158.58984063744984,0.01593625498007968,4.135262449528937,12.785123966942148,0.9490358126721763
2017-06-19,661,104330.33999999988,157.83712556732206,0.009077155824508321,4.153076923076923,11.34015748031496,0.9590551181102362
2017-06-26,730,108665.3499999999,148.8566438356163,0.015068493150684932,4.186111111111111,11.473087818696884,0.9660056657223796
2017-07-03,841,125232.88000000008,148.90948870392398,0.03329369797859691,4.177615571776156,11.7455919395466,0.9659949622166247
2017-07-10,959,135665.08999999988,141.46516162669434,0.017726798748696558,4.174762407602957,12.197624190064795,0.9622030237580994
2017-07-17,963,142781.19999999992,148.26708203530626,0.01557632398753894,4.14699683877766,11.220917822838848,0.9669156883671292
2017-07-24,927,133042.0499999999,143.51893203883483,0.014023732470334413,4.222222222222222,11.100783874580067,0.9664053751399776
2017-07-31,984,142253.87,144.56694105691057,0.014227642276422764,4.205246913580247,10.974842767295597,0.9664570230607966
2017-08-07,939,149503.4599999998,159.2156123535674,0.019169329073482427,4.2680690399137005,10.991218441273325,0.9681668496158068
2017-08-14,1044,149404.70000000013,143.107950191571,0.01532567049808429,4.230994152046784,11.100198412698413,0.9692460317460317
2017-08-21,890,126182.07999999991,141.777617977528,0.008988764044943821,4.223050458715596,10.880510440835266,0.9698375870069605
2017-08-28,1009,205262.67000000004,203.43178394449956,0.007928642220019821,4.280181086519114,11.067415730337078,0.9611848825331971
2017-09-04,904,153852.94000000024,170.1913053097348,0.01327433628318584,4.18018018018018,11.829351535836178,0.949943117178612
2017-09-11,1164,186025.8100000002,159.81598797250876,0.012027491408934709,4.139737991266376,11.87588028169014,0.9216549295774648
2017-09-18,994,151437.6599999999,152.35177062374234,0.01609657947686117,4.171603677221655,11.747907949790795,0.9476987447698745
2017-09-25,964,167111.17999999985,173.3518464730289,0.016597510373443983,4.219435736677116,11.52972972972973,0.972972972972973
2017-10-02,999,166655.9099999998,166.82273273273253,0.012012012012012012,4.113911290322581,12.096410256410257,0.9641025641025641
2017-10-09,1070,178962.6900000001,167.2548504672898,0.02149532710280374,4.118595825426945,11.938834951456311,0.9407766990291262
2017-10-16,1147,190729.97999999986,166.28594594594583,0.01918047079337402,4.114260407440213,11.444343891402715,0.9429864253393665
2017-10-23,978,160982.07000000004,164.60334355828223,0.016359918200409,4.174479166666667,11.512631578947369,0.9515789473684211
2017-10-30,942,165840.9900000002,176.05200636942695,0.02653927813163482,4.085483870967742,12.05,0.9366666666666666
